method,dataset,seed,bidirectional_chamfer,eps_stop,eval_eps_used,gt_to_learned_mean,gt_to_learned_p95,learned_to_gt_mean,learned_to_gt_p95,n_gt,n_learned,pred_FPrate,pred_on_mean_v,pred_precision,pred_recall,proj_manifold_dist,proj_steps,proj_true_dist,proj_v_residual,train_seconds
oncl,3d_spatial_arm_ellip_n3_traj,0,0.05480440333485603,0.044141735881567,0.044141735881567,0.015729639679193497,0.03844515606760979,0.03907476365566254,0.14843212068080902,8128.0,4096.0,0.0014687882496940024,0.0003358321264386177,0.7314453125,0.7621801181102362,0.03907476365566254,19.004150390625,0.3116805851459503,0.034286245703697205,4.907712123007514
oncl,3d_spatial_arm_ellip_n3_traj,1,0.05078539624810219,0.04043823480606079,0.04043823480606079,0.012882011942565441,0.026845606043934822,0.03790338337421417,0.09820728003978729,8128.0,4096.0,0.0017144256674014205,0.00039454828947782516,0.694580078125,0.6835629921259843,0.03790338337421417,19.000244140625,0.30285999178886414,0.028988227248191833,4.351776397030335
oncl,3d_spatial_arm_ellip_n3_traj,2,0.07087220996618271,0.04530356079339981,0.04530356079339981,0.018392333760857582,0.034966740757226944,0.052479878067970276,0.13971394300460815,8128.0,4096.0,0.0034254954734524103,0.00043690367601811886,0.5810546875,0.5852608267716536,0.052479878067970276,19.00146484375,0.3330906331539154,0.03583152964711189,4.127855238970369
oncl,3d_spatial_arm_ellip_n3_traj,3,0.05310159921646118,0.037406716495752335,0.037406716495752335,0.013068472035229206,0.03641830012202263,0.04003312811255455,0.1745433360338211,8128.0,4096.0,0.0014691478942213516,0.0002679147874005139,0.6982421875,0.6152805118110236,0.04003312811255455,19.00732421875,0.3078065514564514,0.03310523182153702,4.355700512009207
oncl,3d_spatial_arm_ellip_n3_traj,4,0.06547479331493378,0.04338567331433296,0.04338567331433296,0.017293859273195267,0.04169316217303276,0.04818093404173851,0.16717171669006348,8128.0,4096.0,0.0017135862913096695,0.00028573680901899934,0.566162109375,0.5497047244094488,0.04818093404173851,19.0068359375,0.3159787654876709,0.03747191280126572,4.8586257550050505
oncl,3d_spatial_arm_ellip_n3_traj,5,0.05253365635871887,0.032501671463251114,0.032501671463251114,0.01532772183418274,0.03622013330459595,0.03720593452453613,0.10717705637216568,8128.0,4096.0,0.002202104232933692,0.00022494718723464757,0.72314453125,0.5770177165354331,0.03720593452453613,19.00341796875,0.30746155977249146,0.03283444046974182,4.513001155981328
oncl,3d_spatial_arm_ellip_n3_traj,6,0.05565017834305763,0.037872787564992905,0.037872787564992905,0.014234364964067936,0.03218761086463928,0.04141581431031227,0.14313669502735138,8128.0,4096.0,0.002937576499388005,0.00030604552011936903,0.669677734375,0.6502214566929134,0.04141581431031227,19.0029296875,0.31586524844169617,0.03542150557041168,4.261145188997034
ecomann,3d_spatial_arm_ellip_n3_traj,0,0.38519614934921265,1.0696022510528564,1.0696022510528564,0.09291957318782806,0.17547303438186646,0.2922765612602234,0.7981377243995667,8128.0,4096.0,0.5936352509179926,0.17805010080337524,0.047607421875,0.9199064960629921,0.2922765612602234,54.029296875,0.9037454128265381,0.0737101212143898,19.481704044970684
ecomann,3d_spatial_arm_ellip_n3_traj,1,0.9251488447189331,0.8298208713531494,0.8298208713531494,0.4089827835559845,0.5138382911682129,0.5161660313606262,0.6474762558937073,8128.0,4096.0,0.39505265735978445,0.2593356966972351,0.0,0.890994094488189,0.5161660313606262,78.30224609375,1.0841246843338013,0.11730185896158218,18.53748539503431
ecomann,3d_spatial_arm_ellip_n3_traj,2,1.5833709239959717,0.6919668912887573,0.6919668912887573,1.0871939659118652,2.1677184104919434,0.49617692828178406,0.8641118407249451,8128.0,4096.0,0.4773672620504037,0.11522392928600311,0.0,0.9361466535433071,0.49617692828178406,199.590087890625,1.7645937204360962,0.5192664861679077,19.480062399990857
